Frame,Time,Temperature,Arduino_Line,Distance,CircleLeft_X,CircleLeft_Y,CircleLeft_Radius,CircleRight_X,CircleRight_Y,CircleRight_Radius
188.0,2387070.0,591.4,11886.0,990.0,499.5,667.5,175.0,1490.5,670.5,175.0
189.0,2387070.0,591.4,11886.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
190.0,2387070.0,591.4,11886.0,990.05,503.5,665.5,172.8000030517578,1494.5,676.5,172.8000030517578
191.0,2387070.0,591.4,11886.0,984.03,503.5,667.5,175.0,1488.5,675.5,172.8000030517578
192.0,2387070.0,591.4,11886.0,986.01,501.5,667.5,175.0,1488.5,672.5,175.0
193.0,2387272.0,591.5,11887.0,990.0,1491.5,670.5,175.0,501.5,667.5,175.0
194.0,2387272.0,591.5,11887.0,990.0,501.5,667.5,175.0,1492.5,670.5,175.0
195.0,2387272.0,591.5,11887.0,988.02,1490.5,673.5,177.1999969482422,501.5,667.5,175.0
196.0,2387272.0,591.5,11887.0,990.0,501.5,672.5,170.60000610351562,1491.5,671.5,175.0
197.0,2387272.0,591.5,11887.0,986.01,501.5,672.5,170.60000610351562,1488.5,675.5,172.8000030517578
198.0,2387272.0,591.5,11887.0,988.0,501.5,672.5,170.60000610351562,1490.5,672.5,177.1999969482422
199.0,2387272.0,591.5,11887.0,992.02,500.5,668.5,175.0,1492.5,674.5,175.0
200.0,2387272.0,591.5,11887.0,990.01,500.5,669.5,169.5,1490.5,673.5,170.60000610351562
201.0,2387272.0,591.5,11887.0,992.01,500.5,669.5,169.5,1492.5,673.5,177.1999969482422
202.0,2387272.0,591.5,11887.0,992.01,500.5,668.5,175.0,1492.5,671.5,175.0
203.0,2387272.0,591.5,11887.0,990.0,500.5,668.5,175.0,1490.5,670.5,175.0
204.0,2387272.0,591.5,11887.0,992.01,499.5,667.5,175.0,1491.5,671.5,175.0
205.0,2387474.0,591.5,11888.0,990.02,1493.5,673.5,177.1999969482422,504.5,667.5,175.0
206.0,2387474.0,591.5,11888.0,988.03,500.5,668.5,175.0,1488.5,675.5,172.8000030517578
