READ_NUMBER	READ_TIMER	READ_INTERVAL	READ_EXT_TEMP	READ_INT_TEMP	READ_CURRENT	READ_VOLTAGE	READ_HEAT	READ_POWER	READ_ON
234	48274	192	30.0	237.3	0.001125	0.151505	2.15	0.0002	1
235	48465	191	30.1	237.3	0.000500	0.151505	2.15	0.0001	1
236	48657	192	30.1	237.3	0.001163	0.151505	2.15	0.0002	1
237	48848	191	30.1	237.3	0.000513	0.145823	2.15	0.0001	1
238	49040	192	30.1	237.3	0.001150	0.153398	2.15	0.0002	1
239	49234	194	30.0	237.2	0.000863	0.147717	2.15	0.0001	1
240	49427	193	30.0	237.2	0.000763	0.149611	-2.95	0.0001	1
241	49618	191	30.0	237.2	0.000900	0.151505	-2.95	0.0001	1
242	49811	193	30.0	237.2	0.000575	0.149611	-2.95	0.0001	1
243	50003	192	30.0	237.2	0.001200	0.149611	-2.95	0.0002	1
244	50196	193	30.0	237.2	0.000438	0.149611	-2.95	0.0001	1
245	50390	194	30.0	237.3	0.001213	0.147717	-2.95	0.0002	1
246	50582	192	30.1	237.2	0.000438	0.149611	-2.95	0.0001	1
247	50775	193	30.0	237.3	0.001088	0.153398	-2.95	0.0002	1
248	50970	195	30.0	237.2	0.001175	0.153398	-2.95	0.0002	1
249	51163	193	30.1	237.3	0.000438	0.151505	-2.95	0.0001	1
250	51355	192	30.0	237.2	0.001213	0.145823	0.46	0.0002	1
251	51549	194	30.0	237.3	0.000488	0.157186	0.46	0.0001	1
252	51740	191	30.0	237.3	0.001200	0.155292	0.46	0.0002	1
253	51932	192	30.0	237.3	0.000413	0.147717	0.46	0.0001	1
254	52128	196	30.0	237.3	0.000525	0.145823	0.46	0.0001	1
255	52320	192	30.0	237.3	0.001150	0.149611	0.46	0.0002	1
256	52514	194	30.0	237.3	0.000413	0.149611	0.46	0.0001	1
257	52706	192	30.0	237.3	0.001263	0.147717	0.46	0.0002	1
258	52897	191	30.0	237.3	0.000413	0.147717	0.46	0.0001	1
259	53115	218	30.0	237.3	0.000438	0.147717	0.46	0.0001	1
260	53307	192	30.0	237.4	0.001188	0.151505	4.35	0.0002	1
261	53498	191	30.0	237.4	0.000438	0.153398	4.35	0.0001	1
262	53690	192	30.0	237.4	0.001188	0.147717	4.35	0.0002	1
263	53881	191	30.0	237.4	0.000425	0.149611	4.35	0.0001	1
264	54073	192	30.0	237.4	0.001188	0.145823	4.35	0.0002	1
265	54267	194	30.0	237.4	0.000775	0.147717	4.35	0.0001	1
266	54459	192	30.0	237.5	0.000938	0.157186	4.35	0.0001	1
267	54650	191	30.0	237.4	0.000688	0.147717	4.35	0.0001	1
268	54842	192	30.0	237.5	0.001000	0.151505	4.35	0.0002	1
269	55033	191	30.0	237.6	0.000663	0.140142	4.35	0.0001	1
270	55225	192	30.0	237.6	0.001050	0.147717	6.85	0.0002	1
271	55416	191	30.0	237.6	0.000563	0.145823	6.85	0.0001	1
272	55608	192	30.0	237.7	0.001075	0.147717	6.85	0.0002	1
273	55802	194	30.1	237.7	0.000950	0.145823	6.85	0.0001	1
274	55994	192	30.0	237.7	0.000713	0.145823	6.85	0.0001	1
275	56185	191	30.0	237.7	0.000900	0.145823	6.85	0.0001	1
276	56377	192	30.0	237.7	0.000763	0.145823	6.85	0.0001	1
277	56568	191	30.0	237.7	0.000825	0.145823	6.85	0.0001	1
278	56760	192	30.0	237.7	0.000825	0.153398	6.85	0.0001	1
279	56951	191	30.0	237.7	0.000825	0.147717	6.85	0.0001	1
280	57143	192	30.0	237.8	0.000900	0.143929	5.46	0.0001	1
281	57334	191	30.0	237.7	0.000738	0.145823	5.46	0.0001	1
282	57529	195	30.0	237.8	0.000525	0.143929	5.46	0.0001	1
283	57720	191	30.0	237.8	0.001100	0.149611	5.46	0.0002	1
284	57912	192	30.0	237.8	0.000488	0.142036	5.46	0.0001	1
285	58103	191	30.0	237.8	0.001138	0.143929	5.46	0.0002	1
286	58296	193	30.0	237.9	0.000475	0.143929	5.46	0.0001	1
287	58487	191	30.0	237.8	0.001125	0.143929	5.46	0.0002	1
288	58679	192	30.0	237.9	0.000538	0.143929	5.46	0.0001	1
289	58870	191	30.0	237.8	0.001063	0.143929	5.46	0.0002	1
290	59065	195	30.0	237.8	0.000438	0.140142	0.99	0.0001	1
291	59256	191	30.0	237.9	0.001250	0.145823	0.99	0.0002	1
292	59453	197	30.0	237.8	0.001025	0.142036	0.99	0.0001	1
293	59644	191	30.0	237.8	0.000650	0.142036	0.99	0.0001	1
294	59836	192	30.0	237.8	0.001025	0.142036	0.99	0.0001	1
295	60028	192	30.0	237.8	0.000675	0.143929	0.99	0.0001	1
296	60220	192	30.1	237.9	0.000950	0.149611	0.99	0.0001	1
297	60411	191	30.0	237.8	0.000713	0.142036	0.99	0.0001	1
298	60625	214	30.0	237.8	0.001063	0.143929	0.99	0.0002	1
299	60820	195	30.0	237.9	0.001063	0.147717	0.99	0.0002	1
300	61011	191	30.0	237.9	0.000588	0.145823	1.71	0.0001	1
301	61204	193	30.0	237.8	0.001050	0.149611	1.71	0.0002	1
302	61395	191	30.0	237.8	0.000625	0.147717	1.71	0.0001	1
303	61587	192	30.0	237.9	0.001025	0.145823	1.71	0.0001	1
304	61778	191	30.0	237.9	0.000600	0.143929	1.71	0.0001	1
305	61970	192	30.0	238.0	0.000975	0.145823	1.71	0.0001	1
306	62161	191	30.0	238.0	0.000663	0.142036	1.71	0.0001	1
307	62356	195	30.0	238.0	0.001213	0.140142	1.71	0.0002	1
308	62547	191	30.0	238.0	0.000425	0.140142	1.71	0.0001	1
309	62740	193	30.0	238.0	0.001250	0.143929	1.71	0.0002	1
310	62931	191	30.0	238.0	0.000425	0.142036	3.08	0.0001	1
311	63123	192	30.0	238.0	0.001213	0.149611	3.08	0.0002	1
312	63314	191	30.0	238.0	0.000425	0.145823	3.08	0.0001	1
313	63506	192	30.0	238.0	0.001238	0.149611	3.08	0.0002	1
314	63697	191	30.0	238.0	0.000438	0.147717	3.08	0.0001	1
315	63889	192	30.0	238.0	0.001213	0.147717	3.08	0.0002	1
316	64083	194	30.0	238.0	0.000488	0.153398	3.08	0.0001	1
317	64275	192	30.0	238.0	0.001175	0.143929	3.08	0.0002	1
318	64467	192	30.0	238.0	0.000513	0.143929	3.08	0.0001	1
319	64659	192	30.0	238.1	0.001150	0.143929	3.08	0.0002	1
320	64850	191	30.0	238.0	0.000500	0.151505	2.61	0.0001	1
321	65042	192	30.0	238.0	0.001188	0.151505	2.61	0.0002	1
322	65233	191	30.0	238.0	0.000513	0.151505	2.61	0.0001	1
323	65425	192	30.0	238.0	0.001200	0.145823	2.61	0.0002	1
324	65619	194	30.0	238.0	0.000800	0.145823	2.61	0.0001	1
325	65811	192	30.0	237.9	0.000900	0.147717	2.61	0.0001	1
326	66002	191	30.0	238.0	0.000763	0.142036	2.61	0.0001	1
327	66194	192	30.0	238.0	0.000913	0.151505	2.61	0.0001	1
328	66386	192	30.0	238.0	0.000700	0.147717	2.61	0.0001	1
329	66578	192	30.0	238.1	0.000975	0.145823	2.61	0.0001	1
330	66769	191	30.0	238.0	0.000688	0.145823	-1.10	0.0001	1
331	66961	192	30.0	238.1	0.000950	0.149611	-1.10	0.0001	1
332	67159	198	30.0	238.1	0.001225	0.151505	-1.10	0.0002	1
333	67354	195	30.0	238.0	0.000963	0.143929	-1.10	0.0001	1
