DISTANCE,TEMPERATURE,TIME
982.02,602.5,-146429.58741
982.02,602.5,-146412.90408
980.01,602.5,-146396.22075
980.01,602.5,-146379.53742
976.03,602.5,-146362.85409
976.01,602.5,-146346.17076
980.0,602.5,-146329.48743
978.0,602.5,-146312.8041
980.01,602.5,-146296.12077
976.01,602.5,-146279.43744
982.03,602.5,-146262.75411
982.0,602.5,-146246.07078
988.0,602.6,-146229.38745
982.0,602.6,-146212.70412
978.0,602.6,-146196.02079
980.0,602.6,-146179.33746
982.01,602.6,-146162.65413
982.01,602.6,-146145.9708
982.02,602.6,-146129.28747
980.01,602.6,-146112.60414
980.02,602.6,-146095.92081
980.02,602.6,-146079.23748
980.02,602.6,-146062.55415
980.02,602.6,-146045.87082
980.01,602.6,-146029.18749
980.01,602.6,-146012.50416
982.02,602.6,-145995.82083
980.01,602.6,-145979.1375
980.0,602.6,-145962.45417
982.02,602.6,-145945.77084
978.02,602.6,-145929.08751
976.02,602.6,-145912.40418
976.03,602.6,-145895.72085
980.03,602.6,-145879.03752
988.0,602.6,-145862.35419
988.0,602.6,-145845.67086
976.01,602.6,-145828.98753
988.0,602.6,-145812.3042
988.0,602.6,-145795.62087
986.0,602.6,-145778.93754
976.03,602.6,-145762.25421
976.03,602.6,-145745.57088
978.01,602.6,-145728.88755
978.0,602.6,-145712.20422
980.01,602.6,-145695.52089
984.01,602.6,-145678.83756
978.05,602.6,-145662.15423000001
980.02,602.6,-145645.47090000001
980.0,602.6,-145628.78757000001
982.0,602.6,-145612.10424000002
978.0,602.6,-145595.42091000002
984.0,602.6,-145578.73758000002
982.0,602.6,-145562.05425000002
982.0,602.6,-145545.37092000002
980.0,602.6,-145528.68759000002
976.01,602.6,-145512.00426000002
980.0,602.6,-145495.32093000002
980.0,602.6,-145478.63760000002
976.05,602.6,-145461.95427000002
976.05,602.6,-145445.27094000002
980.03,602.7,-145428.58761000002
980.03,602.7,-145411.90428000002
980.0,602.7,-145395.22095000002
980.0,602.7,-145378.53762000002
976.01,602.7,-145361.85429000002
982.0,602.7,-145345.17096000002
980.0,602.7,-145328.48763000002
980.0,602.7,-145311.80430000002
980.0,602.7,-145295.12097000002
978.01,602.7,-145278.43764000002
984.0,602.7,-145261.75431000002
984.01,602.7,-145245.07098000002
980.0,602.8,-145228.38765000002
984.02,602.8,-145211.70432000002
982.0,602.8,-145195.02099000002
982.0,602.8,-145178.33766000002
986.05,602.8,-145161.65433000002
980.0,602.8,-145144.97100000002
980.0,602.8,-145128.28767000002
984.01,602.8,-145111.60434000002
988.0,602.8,-145094.92101000002
984.0,602.8,-145078.23768000002
982.03,602.8,-145061.55435000002
982.0,602.8,-145044.87102000002
986.0,602.8,-145028.18769000002
982.01,602.8,-145011.50436000002
980.0,602.8,-144994.82103000002
980.0,602.8,-144978.13770000002
982.01,602.8,-144961.45437000002
980.01,602.8,-144944.77104000002
982.01,602.8,-144928.08771000002
982.0,602.8,-144911.40438000002
980.01,602.8,-144894.72105000002
980.01,602.8,-144878.03772000002
970.02,602.8,-144861.35439000002
978.0,602.8,-144844.67106000002
980.01,602.8,-144827.98773000002
980.01,602.8,-144811.30440000002
976.01,602.8,-144794.62107000002
980.01,602.8,-144777.93774000002
978.01,602.8,-144761.25441000002
978.01,602.8,-144744.57108000002
980.01,602.8,-144727.88775000002
982.02,602.8,-144711.20442000002
978.01,602.8,-144694.52109000002
988.0,602.8,-144677.83776000002
978.0,602.8,-144661.15443000002
982.01,602.8,-144644.47110000002
980.02,602.9,-144627.78777000002
982.01,602.9,-144611.10444000002
978.01,602.9,-144594.42111000002
980.0,602.9,-144577.73778000002
980.0,602.9,-144561.05445000003
982.02,602.9,-144544.37112000003
982.0,602.9,-144527.68779000003
980.0,602.9,-144511.00446000003
978.0,602.9,-144494.32113000003
982.01,602.9,-144477.63780000003
980.01,602.9,-144460.95447000003
980.01,602.9,-144444.27114000003
980.01,602.9,-144427.58781000003
980.01,602.9,-144410.90448000003
980.05,602.9,-144394.22115000003
978.02,602.9,-144377.53782000003
986.01,602.9,-144360.85449000003
978.01,602.9,-144344.17116000003
986.01,602.9,-144327.48783000003
986.01,602.9,-144310.80450000003
980.0,602.9,-144294.12117000003
980.0,602.9,-144277.43784000003
982.03,602.9,-144260.75451
980.05,602.9,-144244.07118
976.05,602.9,-144227.38785
988.0,602.9,-144210.70452
982.0,602.9,-144194.02119
982.0,602.9,-144177.33786
986.0,602.9,-144160.65453
986.0,602.9,-144143.9712
978.01,602.9,-144127.28787
982.02,602.9,-144110.60454
980.02,602.9,-144093.92121
982.0,602.9,-144077.23788
988.0,602.9,-144060.55455
988.0,602.9,-144043.87122
976.02,603.0,-144027.18789
976.0,603.0,-144010.50456
986.0,603.0,-143993.82123
986.0,603.0,-143977.1379
976.0,603.0,-143960.45457
978.01,603.0,-143943.77124
980.01,603.0,-143927.08791
980.01,603.0,-143910.40458
974.01,603.0,-143893.72125
974.01,603.0,-143877.03792
976.02,603.0,-143860.35459
976.02,603.0,-143843.67126
986.01,603.0,-143826.98793
984.02,603.0,-143810.3046
980.03,603.0,-143793.62127
984.0,603.0,-143776.93794
978.0,603.0,-143760.25461
978.01,603.0,-143743.57128
976.02,603.0,-143726.88795
976.02,603.0,-143710.20462
988.0,603.0,-143693.52129
980.0,603.0,-143676.83796
980.02,603.0,-143660.15463
980.02,603.0,-143643.4713
976.03,603.0,-143626.78797
982.03,603.0,-143610.10464
982.01,603.0,-143593.42131
982.01,603.0,-143576.73798
988.0,603.0,-143560.05465
988.0,603.0,-143543.37132
980.0,603.0,-143526.68799
980.0,603.0,-143510.00466
988.0,603.0,-143493.32133
982.01,603.0,-143476.638
980.01,603.0,-143459.95467
980.01,603.0,-143443.27134
984.0,603.0,-143426.58801
980.0,603.0,-143409.90468
986.0,603.0,-143393.22135
978.01,603.0,-143376.53802
978.02,603.0,-143359.85469
982.0,603.0,-143343.17136
988.0,603.0,-143326.48803
982.01,603.0,-143309.8047
976.01,603.0,-143293.12137
980.0,603.0,-143276.43804
982.03,603.0,-143259.75471
978.02,603.0,-143243.07138
980.01,603.1,-143226.38805
980.01,603.1,-143209.70472
980.03,603.1,-143193.02139
980.03,603.1,-143176.33806
980.0,603.1,-143159.65473
986.0,603.1,-143142.9714
978.0,603.1,-143126.28807
980.0,603.1,-143109.60474
980.01,603.1,-143092.92141
978.0,603.1,-143076.23808
978.0,603.1,-143059.55475
978.0,603.1,-143042.87142
980.02,603.1,-143026.18809
980.02,603.1,-143009.50476
982.0,603.1,-142992.82143
982.0,603.1,-142976.1381
980.01,603.1,-142959.45477
980.01,603.1,-142942.77144
976.0,603.1,-142926.08811
974.02,603.1,-142909.40478
980.02,603.1,-142892.72145
980.02,603.1,-142876.03812
982.0,603.1,-142859.35479
982.02,603.1,-142842.67146
980.02,603.2,-142825.98813
980.02,603.2,-142809.3048
980.01,603.2,-142792.62147
980.0,603.2,-142775.93814
980.0,603.2,-142759.25481
976.03,603.2,-142742.57148
980.01,603.2,-142725.88815
980.01,603.2,-142709.20482
978.0,603.2,-142692.52149
978.01,603.2,-142675.83816
982.03,603.2,-142659.15483
980.03,603.2,-142642.4715
980.01,603.2,-142625.78817
980.01,603.2,-142609.10484
980.0,603.2,-142592.42151000001
980.0,603.2,-142575.73818000001
978.02,603.2,-142559.05485000001
980.02,603.2,-142542.37152000002
978.0,603.2,-142525.68819000002
978.0,603.2,-142509.00486000002
976.03,603.2,-142492.32153000002
980.02,603.2,-142475.63820000002
980.0,603.2,-142458.95487000002
980.0,603.2,-142442.27154000002
978.0,603.2,-142425.58821000002
976.01,603.2,-142408.90488000002
978.0,603.2,-142392.22155000002
978.0,603.2,-142375.53822000002
982.0,603.2,-142358.85489000002
984.0,603.2,-142342.17156000002
978.0,603.2,-142325.48823000002
978.0,603.2,-142308.80490000002
978.01,603.2,-142292.12157000002
986.0,603.2,-142275.43824000002
978.0,603.2,-142258.75491000002
986.0,603.2,-142242.07158000002
978.0,603.2,-142225.38825000002
974.0,603.2,-142208.70492000002
982.0,603.2,-142192.02159000002
988.0,603.2,-142175.33826000002
986.0,603.2,-142158.65493000002
980.0,603.2,-142141.97160000002
976.03,603.2,-142125.28827000002
978.02,603.2,-142108.60494000002
980.01,603.2,-142091.92161000002
970.02,603.2,-142075.23828000002
978.01,603.2,-142058.55495000002
986.0,603.2,-142041.87162000002
984.0,603.2,-142025.18829000002
984.0,603.2,-142008.50496000002
984.0,603.2,-141991.82163000002
984.0,603.2,-141975.13830000002
978.01,603.2,-141958.45497000002
980.01,603.2,-141941.77164000002
980.02,603.2,-141925.08831000002
978.02,603.2,-141908.40498000002
984.0,603.2,-141891.72165000002
978.01,603.2,-141875.03832000002
