DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2310.87,7924132.0,1.22518,2283.1185,911.55833,5848501.18333,1.2706,925.1
2270.83,5445870.0,1.29113,2284.0565,766.605,4560822.61667,1.26901,926.6
2290.79,7894144.0,1.25768,2282.55867,909.11833,5793696.76667,1.27152,930.1
2272.98,5475809.0,1.28747,2283.17117,771.98667,4590821.93333,1.27044,932.3
2304.89,7864054.0,1.23474,2282.54933,906.50667,5738890.76667,1.27153,934.6
2278.81,5505901.0,1.27762,2282.41617,777.38,4620823.91667,1.27166,938.3
2307.01,7834129.0,1.23134,2282.305,903.73333,5684087.28333,1.27193,939.3
2288.41,7804150.0,1.2616,2282.02533,900.79333,5629282.68333,1.27238,943.8
2272.67,5535830.0,1.288,2281.891,782.78,4650824.8,1.27253,944.0
2315.13,7774109.0,1.21842,2282.12217,897.69,5574476.98333,1.27222,948.3
2276.81,5565819.0,1.28099,2281.56767,788.17667,4680824.75,1.27307,949.2
2280.3,7744115.0,1.27511,2281.70717,894.42333,5519673.0,1.27289,952.8
2278.65,5595913.0,1.27789,2281.38017,793.53,4710827.51667,1.27338,953.2
2280.8,5625849.0,1.27428,2281.28933,798.855,4740827.91667,1.27353,956.9
2302.63,7714182.0,1.23838,2281.8395,890.995,5464867.36667,1.27267,957.2
2282.64,5655774.0,1.2712,2281.2625,804.155,4770827.31667,1.27358,959.8
2305.15,7684091.0,1.23432,2281.45567,887.40667,5410061.7,1.27331,961.7
2272.52,5685862.0,1.28825,2281.03367,809.41333,4800829.2,1.27396,962.3
2280.5,5715835.0,1.27478,2280.94067,814.61,4830829.1,1.27412,963.9
2311.68,7654149.0,1.22389,2281.171,883.65333,5355257.63333,1.27377,965.7
2272.98,5745923.0,1.28747,2280.65033,819.75,4860831.75,1.2746,965.8
2276.81,5775861.0,1.28099,2280.5595,824.81667,4890833.58333,1.27476,966.8
2285.1,5805853.0,1.2671,2280.57367,829.81833,4920833.93333,1.27473,968.3
2284.48,5835887.0,1.26813,2280.54417,834.74667,4950835.86667,1.27478,969.2
2303.56,7624159.0,1.23688,2280.7775,879.74667,5300451.85,1.27441,969.8
2284.33,5865879.0,1.26838,2280.51217,839.605,4980836.3,1.27484,970.4
2284.33,5895817.0,1.26838,2280.447,844.38333,5010835.9,1.27494,971.1
2286.33,5925848.0,1.26505,2280.51483,849.09167,5040837.16667,1.27483,971.9
2292.46,5955828.0,1.25493,2280.58517,853.72333,5070836.75,1.27472,972.6
2295.44,7594117.0,1.25005,2280.489,875.68333,5245646.21667,1.27488,973.1
2292.61,5985916.0,1.25468,2280.658,858.27833,5100838.88333,1.2746,973.3
2284.33,6015843.0,1.26838,2280.55683,862.75667,5130839.98333,1.27476,973.9
2276.36,6045838.0,1.28175,2280.36167,867.15833,5160840.31667,1.27509,974.4
2286.18,6075877.0,1.2653,2280.369,871.47833,5190841.61667,1.27508,974.8
