Time,Size,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
5370,2175.46,1.472718287,2264.7005,766.605,4485,1.472718287,926.6
5400,2175.46,1.472718287,2264.01783,771.98667,4515,1.472718287,932.3
5430,2175.46,1.472718287,2264.16117,777.38,4545,1.472718287,938.3
5460,2175.46,1.472718287,2264.46733,782.78,4575,1.472718287,944
5490,2175.46,1.472718287,2265.4585,788.17667,4605,1.472718287,949.2
5520,2175.46,1.472718287,2266.506,793.53,4635,1.472718287,953.2
5550,2175.46,1.472718287,2267.58433,798.855,4665,1.472718287,956.9
5580,2175.46,1.472718287,2268.55,804.155,4695,1.472718287,959.8
5610,2175.46,1.472718287,2269.70717,809.41333,4725,1.472718287,962.3
5640,2175.46,1.472718287,2270.6675,814.61,4755,1.472718287,963.9
5670,2175.46,1.472718287,2271.59733,819.75,4785,1.472718287,965.8
5700,2175.46,1.472718287,2272.51433,824.81667,4815,1.472718287,966.8
5730,2175.46,1.472718287,2273.86817,829.81833,4845,1.472718287,968.3
5760,2175.46,1.472718287,2275.629,834.74667,4875,1.472718287,969.2
5790,2175.46,1.472718287,2276.946,839.605,4905,1.472718287,970.4
5820,2175.46,1.472718287,2270.63433,844.38333,4935,1.472718287,971.1
5850,2175.46,1.472718287,2272.39,849.09167,4965,1.472718287,971.9
5880,2175.46,1.472718287,2273.86967,853.72333,4995,1.472718287,972.6
5910,2175.46,1.472718287,2275.33867,858.27833,5025,1.472718287,973.3
5940,2175.46,1.472718287,2276.87667,862.75667,5055,1.472718287,973.9
5970,2175.46,1.472718287,2278.53533,867.15833,5085,1.472718287,974.4
6000,2175.46,1.472718287,2277.95033,871.47833,5115,1.472718287,974.8
