DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1052.5951,553.15,-202533.95787,0.99972,1052.6125000000004,553.6,-200091.51835500004,0.9996816666666666,1051.84632,553.5,-200558.65159,1.00186
1052.43933,553.25,-201983.40798,1.00016,1051.1377083333332,553.7,-199490.91847500004,1.00388,1052.025,553.6,-200124.88502,1.00135
1052.5225,553.35,-201442.86809,0.99992,1052.45,553.8,-198990.418575,1.0001133333333334,1052.06674,553.7,-199524.28514,1.00123
1052.5249,553.45,-200892.3182,0.99992,1052.0714583333336,553.9,-198489.918675,1.0011983333333336,1051.88639,553.8,-198990.41858,1.00173
1052.38008,553.55,-200321.74831,1.00033,1051.9775,554.0,-197789.218815,1.001489722222222,1052.16632,553.9,-198423.18535,1.00093
1052.15792,553.65,-199761.18842,1.00096,1052.2458333333334,554.1,-197288.718915,1.0007145833333335,1052.09826,554.0,-197855.95213,1.00113
1052.05928,553.75,-199210.63853,1.00125,1052.0663888888887,554.2,-196788.219015,1.0012266666666667,1052.09657,554.1,-197288.71891,1.00114
1051.91412,553.85,-198680.10864,1.00166,1051.6533333333334,554.3,-196287.719115,1.00240125,1051.98852,554.2,-196788.21901,1.00145
1052.07517,553.95,-198179.60874,1.0012,1052.212222222222,554.4,-195787.219215,1.000793333333334,1051.97731,554.3,-196287.71911,1.00147
1052.05972,554.05,-197619.04885,1.00124,1052.1702777777775,554.5,-195186.619335,1.0009175,1052.01194,554.4,-195753.85255,1.00137
1051.90175,554.15,-197061.82563,1.00169,1051.0327777777775,554.6,-194519.286135,1.0041875000000002,1051.80509,554.5,-195164.3749,1.00197
1051.9674,554.25,-196517.94907,1.0015,1051.7941666666666,554.7,-194052.152895,1.0019997222222223,1051.66574,554.6,-194586.01945,1.00237
1052.0149,554.35,-195977.40918,1.00137,1052.925,554.8,-193585.01965500004,0.9987641666666666,1051.91731,554.7,-194052.15289,1.00165
1052.01969,554.45,-195446.87928,1.00136,1052.119444444444,554.9,-193184.61973500007,1.0010638888888892,1052.27954,554.8,-193607.2641,1.00061
1052.05828,554.55,-194926.35939,1.00124,1052.3633333333337,555.0,-192584.019855,1.0003791666666668,1052.46926,554.9,-193117.88642,1.00007
1052.09436,554.65,-194395.82949,1.00114,1052.6066666666666,555.1,-191983.419975,0.9996880555555558,1052.36315,555.0,-192584.01985,1.00038
1052.21114,554.75,-193875.3096,1.00081,1053.2341666666664,555.2,-191583.020055,0.9978958333333332,1052.73472,555.1,-192050.15329,0.99932
1052.21868,554.85,-193354.7897,1.00079,1051.72875,555.3,-191082.520155,1.0021943750000002,1052.52319,555.2,-191549.65339,0.99993
1052.136,554.95,-192824.25981,1.00103,1051.3854166666665,555.4,-190481.920275,1.0031758333333334,1052.11611,555.3,-191049.15349,1.00109
